Pre_RSRP,Post_RSRP,Delta_RSRP
-91.1394636423752,-84.3700612634798,6.76940237889539
-88.1261718392562,-87.3632807085781,0.76289113067817
-88.4350667810174,-82.9190555995377,5.51601118147968
-91.5300979389328,-81.3715128686061,10.1585850703267
-92.3315249867079,-84.3463327520437,7.98519223466418
-92.6438968674957,-91.1584182859997,1.48547858149606
-96.974333706834,-91.3364131332972,5.63792057353676
-89.0036219221815,-86.1474043937032,2.85621752847825
-91.0190612378834,-82.3967067275046,8.62235451037881
-96.2306860759093,-90.5550988514433,5.67558722446604
-95.9586600455051,-86.9661793191721,8.99248072633301
-91.9604154022383,-86.5394198388675,5.42099556337082
-92.0808136502262,-82.8664770146485,9.21433663557765
-95.8315100792717,-88.7514721833834,7.08003789588825
-93.33915913728,-88.9101555543214,4.42900358295854
-94.4570213694105,-93.4353416972042,1.02167967220638
-96.1121843768754,-91.4646657594023,4.64751861747304
-91.9552306186274,-85.5451317011709,6.4100989174564
-87.8919468852542,-81.230134870178,6.66181201507625
-95.2651185864174,-86.5360924037982,8.72902618261918
-94.63163930648,-90.3823723810564,4.24926692542354
-96.0820563320972,-90.5532901328711,5.52876619922609
-91.5313398153269,-87.2190943978841,4.31224541744271
-90.1471142260705,-85.4136328888294,4.73348133724117
-88.8329760229145,-83.7339325601712,5.09904346274332
-89.3650059358417,-83.9125286543724,5.45247728146928
-89.7964780290041,-83.2167116197477,6.57976640925642
-88.4490786912655,-85.5177196010891,2.93135909017638
-88.9332759631395,-88.6361080375208,0.297167925618694
-96.0633980983792,-92.6543044499024,3.40909364847675
-94.812859231778,-94.2999777444886,0.512881487289377
-93.8353843531462,-87.1306876449268,6.70469670821943
-90.5820589044809,-85.2703396832321,5.31171922124886
-91.6333691513432,-88.7337215431089,2.89964760823421
-97.8287221408403,-86.7455564679416,11.0831656728987
-92.2437787580985,-88.1207718582741,4.12300689982438
-92.6572421281182,-85.399962841385,7.25727928673327
-93.3968679619529,-86.5689338838237,6.82793407812927
-93.4791606861794,-89.3720780436656,4.10708264251373
-93.8618741109436,-86.9736532229807,6.88822088796284
